Day,True Rate,Synthetic Rate
10,689.3793257755111,757.8642193567186
11,694.0223918054605,674.8306876054334
12,697.7010894458923,788.0796891767864
13,700.5872960342931,913.9903698103724
14,702.8131055457051,669.8998934530421
15,704.482036562781,671.4929805095468
16,705.6765822954104,928.5592827682841
17,706.463441611984,814.8963576059689
18,706.8972325118929,640.5232036813653
19,707.023184808845,783.74369080208
20,706.8791294509497,641.3630703974615
21,706.4969927869248,640.6896587171684
22,705.9039357438866,740.0643597038854
23,705.1232339599468,435.3035632429898
24,704.1749660313084,461.24617480797576
25,703.0765576431216,624.0103215502418
26,701.8432160905487,559.6734859201276
27,700.4882804696667,744.5135952000353
28,699.0235062986206,572.0774716837406
29,697.4592986574384,500.45442885251504
30,695.8049045426881,899.7660248932021
31,694.0685726402891,662.72772571735
32,692.2576868672282,701.6070706223401
33,690.3788786418882,493.65566761286607
34,688.438121788033,613.4833577068391
35,686.440813170629,701.6691717065155
36,684.3918415391521,526.8457187287948
37,682.2956465699162,733.5630710383556
38,680.1562697196549,598.45063556276
39,677.9773982033234,638.42504429192
40,675.7624031714016,594.4402619145496
41,673.5143729720221,923.0215689738807
42,671.2361422305215,669.4241772177397
43,668.9303173555495,527.4233358801688
44,666.5992989805129,776.2608713381076
45,664.2453017671534,502.05737003005044
46,661.8703719307597,689.5184969924783
47,659.4764027910297,401.00516200037254
48,657.0651486066282,482.52419588728867
49,654.6382369132646,680.4128153864505
50,652.1971795531911,748.5223436866506
51,649.7433825572663,672.0124638939456
52,647.2781550182111,632.306833647154
53,644.802717074685,605.9722208672446
54,642.3182071097025,452.38188830468755
55,639.8256882532288,547.7107250389797
56,637.326154267126,578.6107269866986
57,634.8205348806439,769.0371142971458
58,632.3097006360986,675.764336198123
59,629.79446729702,407.7238802030343
60,627.2755998647082,667.9335931264393
61,624.7538162436557,576.637491392075
62,622.2297905915385,537.9895836921021
63,619.7041563853504,695.5158240967608
64,617.1775092316591,744.4394526942752
65,614.6504094458276,729.1327507505337
66,612.1233844222971,509.38245030598927
67,609.5969308156243,571.8979477578027
68,607.0715165498525,647.2916352857865
69,604.5475826719377,722.5002723497797
70,602.0255450633115,544.33051871949
71,599.5057960222156,577.2450695035133
72,596.988705728158,464.8948088814272
73,594.4746235987121,452.2517270793835
74,591.9638795478625,688.1610671593198
75,589.4567851542116,749.3457625819743
76,586.9536347465589,578.5003142265352
77,584.4547064136494,701.7586114564338
78,581.9602629442547,624.051822189622
79,579.4705527031772,504.70497255102333
80,576.9858104482561,618.6898377155982
81,574.5062580929969,751.2285846151099
82,572.0321054190318,567.9333765028538
83,569.5635507422505,747.7963499926027
84,567.1007815360991,269.96888234516643
85,564.6439750152535,657.4604344443371
86,562.1932986825917,571.9807543692849
87,559.7489108421476,526.2751030907344
88,557.3109610805042,567.538818392603
89,554.879590718883,334.30730554701944
90,552.4549332379992,528.1831696120915
91,550.0371146775889,589.3221483674719
92,547.6262540123632,709.4929699221585
93,545.2224635059987,488.7079504722087
94,542.8258490446581,455.0516037571242
95,540.4365104514122,486.2029453055634
96,538.0545417828308,636.5617951802753
97,535.6800316089181,570.9011125717113
98,533.3130632774723,476.8074558627728
99,530.9537151638783,585.457965260711
100,528.6020609072615,538.8651394379016
101,526.2581696338632,628.209637582433
102,523.9221061684428,450.35787905118406
103,521.5939312344451,487.4126138023157
104,519.2737016436263,478.55141121931
105,516.9614704757795,365.6453025458467
106,514.6572872491579,545.1373789478627
107,512.3611980821531,539.1121164861032
108,510.07324584674365,510.594893332167
109,507.79347031420195,483.96910740467666
110,505.5219082935074,362.4217246006828
111,503.2585937628878,460.9199190413217
112,501.00355799488284,466.6633195636013
113,498.75682967529775,418.72857621179173
114,496.51843501638876,480.5021691870065
115,494.2883978646071,534.2319279987431
116,492.06673980319647,677.6926092174804
117,489.8534802499333,506.9569900879528
118,487.64863655026863,512.7674559260577
119,485.45222406612385,478.2242369898588
120,483.26425626057204,297.809547401435
121,481.08474477862313,478.53366057790737
122,478.91369952431967,484.68271405751636
123,476.7511287343358,711.6218202289978
124,474.5970390482607,456.3382501855432
125,472.45143557573846,500.9447305316512
126,470.3143219606253,467.0492334740303
127,468.1857004423139,358.75403131542396
128,466.06557191436946,572.591645643116
129,463.95393598061275,533.7263940023863
130,461.85079100877425,534.9185370997827
131,459.7561341818415,376.1368420438628
132,457.66996154721255,586.0733252161672
133,455.59226806376046,327.8577670267348
134,453.5230476469122,506.75369118961385
135,451.46229321183506,649.2439172132227
136,449.4099967148227,360.37861139024363
137,447.3661491929635,396.69766227514145
138,445.33074080217506,454.2063040494605
139,443.30376085367755,398.6652306600823
140,441.28519784898214,304.42823405394216
141,439.27503951345966,445.29864020687523
142,437.27327282855646,344.36986850076767
143,435.2798840627177,476.50893572269024
144,433.2948588010776,353.61850005095266
145,431.318181973971,565.0211599241857
146,429.3498378843196,362.09190306693495
147,427.38981023394246,399.86064817498254
148,425.4380821488376,494.6583230993999
149,423.4946362034806,319.24174902267185
150,421.55945444418296,440.73703163210826
151,419.6325184115495,529.3364395921384
152,417.7138091620759,283.4202201475269
153,415.8033072889205,431.15758109196986
154,413.900992941888,435.41414225947494
155,412.00684584665555,476.4301209290043
156,410.12084532327646,308.6609910895671
157,408.242970303988,300.42954432737423
158,406.3731993503552,448.7938121290896
159,404.51151066977627,428.5382544328415
160,402.65788213137637,422.83046625324084
161,400.812291281315,428.5844314130734
162,398.97471535753056,344.7121814119581
163,397.1451313039444,415.5928163149111
164,395.3235157841468,418.49520388894484
165,393.50984519458547,337.28898201016773
166,391.70409567727495,537.8703992024083
167,389.9062431320484,426.8563259450484
168,388.11626322836736,295.6434108873318
169,386.33413141670854,437.0639450407198
170,384.55982293954213,309.59514083453496
171,382.79331284191943,443.05145743260795
172,381.0345759816848,469.32757101795295
173,379.2835870393234,317.02932033448644
174,377.54032052746305,450.2829870521446
175,375.8047508000396,406.8297574765156
176,374.07685206114013,435.57958743226334
177,372.35659837353694,513.6132749415008
178,370.64396366692114,352.4536388765087
