,0,1,2
sample_1,280.41664353199263,2683286.5133441803,0.5771861007738077
sample_2,199.83604892970197,1166177.6780885602,0.674600962086615
sample_3,218.3429885814143,1598168.1228142313,0.6284228245385017
sample_4,274.1982852750371,2467815.1208821144,0.5864163453408537
sample_5,220.0106053766725,1601802.6764263532,0.6286218997452291
sample_6,295.62151752474216,2741289.7087300513,0.5796026306250581
sample_7,303.9826248092595,2846645.6076398217,0.5773373666222107
sample_8,232.6790409415308,1790717.842378955,0.616555978349377
sample_9,273.42470620187856,2403395.768833537,0.589637506465548
sample_10,255.28979106834245,2128293.366852675,0.6000357104562267
sample_11,331.1600529912168,3178728.816787547,0.5714508119547449
sample_12,349.9894594412742,3502303.413436753,0.563893541796247
sample_13,261.85549392863857,2213796.5908425567,0.5968054597215814
sample_14,245.4820612186661,1968641.261744515,0.6073455984784424
sample_15,226.3876110321827,1650565.6105766636,0.6262983134152754
sample_16,220.69010941830362,1537377.2506125136,0.6352404299666154
sample_17,216.60236711477663,1451517.508221017,0.6428902296090158
sample_18,217.71653424948448,1470169.2573989562,0.6412412410714268
sample_19,223.69081989387655,1586419.81721946,0.631378151364661
sample_20,218.63036597231942,803786.785876035,0.7614838655663555
sample_21,211.10387641390005,1302860.6597931937,0.6589081190957602
sample_22,270.5274563510751,2304758.37710231,0.5942344073940325
sample_23,264.03919894595487,2206202.54927501,0.5980148563997696
sample_24,210.462423870568,1263651.8341175914,0.6640670946616022
sample_25,247.82367972671545,1959521.4425672463,0.6089157003675448
sample_26,285.1523799110925,2494685.7685498665,0.5884876400023318
sample_27,220.09591681059914,799457.4178773662,0.7632164818418578
sample_28,263.8522719248598,2188070.956836304,0.5990797966410041
sample_29,212.05508981155674,1288954.8426410945,0.6611768529284535
sample_30,218.8248028642246,1451252.3457779677,0.6437473434848906
sample_31,208.8045944738537,980411.9344848704,0.712265680877778
sample_32,223.4691278244387,1539117.5695437987,0.6360679318338053
sample_33,228.01213518853982,1620437.2695383553,0.6297272722133417
sample_34,210.79905227191472,925124.357626465,0.7254502476687007
sample_35,215.58355141402959,1367550.8448392067,0.6523006338191484
sample_36,224.30115272013737,1547082.3777007188,0.6355246971565415
sample_37,227.88869464797773,1610920.4375479228,0.6305476215645257
