Day,True_Rate,Synthetic_Rate,Synthetic_Cum
10,1108.9340943360107,1219.0987462186888,1219.0987462186888
11,1072.3117188894546,1042.6592327994701,2261.757979018159
12,1039.8902025847904,1174.5951956042654,3436.3531746224244
13,1010.8610759552687,1318.7753958273915,4755.128570449816
14,984.6204063717976,938.5099681771138,5693.638538626929
15,960.7065628801819,915.7191806494073,6609.357719276337
16,938.7596893247398,1235.2599557374133,7844.61767501375
17,918.4944642034769,1059.4713742763652,8904.089049290116
18,899.6812848232838,815.2058210773678,9719.294870367485
19,882.1329581158808,977.8549773566745,10697.149847724158
20,865.6950880427453,785.4594039667752,11482.609251690934
21,850.2390033672261,771.0426830644183,12253.651934755351
22,835.6564679405031,876.0959353868498,13129.7478701422
23,821.8556652314937,507.3676235819918,13637.115493724192
24,808.7581091394292,529.7498522106046,14166.865345934797
25,796.2962384209857,706.7467495318624,14873.612095466659
26,784.4115226308492,625.5162423769623,15499.12833784362
27,773.0529556417326,821.6389214947941,16320.767259338414
28,762.1758462405551,623.7610426071197,16944.528301945535
29,751.7408388574065,539.403565024764,17483.9318669703
30,741.7131143222316,959.1312969021017,18443.0631638724
31,732.0617327353823,699.0052947864308,19142.068458658832
32,722.7590894712062,732.5204142179799,19874.58887287681
33,713.7804619526158,510.3889782482973,20384.97785112511
34,705.1036297896883,628.3343827781871,21013.312233903296
35,696.7085546209202,712.1646980512342,21725.47693195453
36,688.577108852728,530.0675428828264,22255.544474837356
37,680.6928446905044,731.8398352609646,22987.38431009832
38,673.0407965585766,592.1899280972061,23579.574238195528
39,665.6073113376387,626.7766128308593,24206.350851026385
40,658.3799018955202,579.149593829625,24785.50044485601
41,651.3471202166049,892.6423324805925,25678.1427773366
42,644.4984470962789,642.7586590195374,26320.90143635614
43,637.8241958967936,502.8974713462841,26823.798907702425
44,631.3154282882887,735.1724869824442,27558.971394684868
45,624.9638802451645,472.3672433134526,28031.33863799832
46,618.7618968502715,644.6092636958933,28675.947901694213
